Region,State,Year,Population,Property crime rate,Violent Crime rate
West Region,Wyoming,1960,330066,1814.5,109.7
West Region,Washington,1960,2853214,2175.5,56.6
West Region,Utah,1960,890627,2487,54.3
West Region,Oregon,1960,1768687,1907.5,69.7
West Region,New Mexico,1960,951023,2243.6,143
West Region,Nevada,1960,285278,3294.7,145.8
West Region,Montana,1960,674767,1985.4,67.1
West Region,Idaho,1960,667191,1732.8,38.2
West Region,Hawaii,1960,632772,2276.5,21.8
West Region,Colorado,1960,1753947,2035.1,137.3
West Region,California,1960,15717204,3235.4,239
West Region,Arizona,1960,1302161,2806,207.7
West Region,Alaska,1960,226167,1544.9,104.3
South Region,West Virginia,1960,1860421,656.2,64.5
South Region,Virginia,1960,3966949,1469.2,183.7
South Region,Texas,1960,9579677,2056.2,161
South Region,Tennessee,1960,3567089,1149.4,91.1
South Region,South Carolina,1960,2382594,1356.5,143.7
South Region,Oklahoma,1960,2328284,1918.4,97
South Region,North Carolina,1960,4556155,956,223.5
South Region,Mississippi,1960,2178141,602,102.7
South Region,Maryland,1960,3100689,1518.8,151.3
South Region,Louisiana,1960,3257022,1342,153.2
South Region,Kentucky,1960,3038156,1115.4,97.3
South Region,Georgia,1960,3943116,1249.1,158.8
South Region,Florida,1960,4951560,2481.2,223.4
South Region,Delaware,1960,446292,2076.4,84
South Region,Arkansas,1960,1786272,926.4,107.7
South Region,Alabama,1960,3266740,1035.4,186.6
Northeast Region,Vermont,1960,389881,815.9,9.5
Northeast Region,Rhode Island,1960,859488,2035.6,36.8
Northeast Region,Pennsylvania,1960,11319366,950.5,99
Northeast Region,New Jersey,1960,6066782,1376.5,114.3
Northeast Region,New Hampshire,1960,606921,676.4,13.3
Northeast Region,Massachusetts,1960,5148578,1170.3,48.8
Northeast Region,Maine,1960,969265,1158.4,29.8
Northeast Region,Connecticut,1960,2535234,1119.9,36.6
Midwest Region,Wisconsin,1960,3951777,1113.7,31.9
Midwest Region,South Dakota,1960,680514,1122.5,41.4
Midwest Region,Ohio,1960,9706397,1475.2,83.7
Midwest Region,North Dakota,1960,632446,876.8,14.2
Midwest Region,Nebraska,1960,1411330,1177.8,41.8
Midwest Region,Missouri,1960,4319813,1799.7,172.9
Midwest Region,Minnesota,1960,3413864,1424,42
Midwest Region,Michigan,1960,7823194,2441.5,217.7
Midwest Region,Kansas,1960,2178611,1336.6,58.4
Midwest Region,Iowa,1960,2757537,1100.1,23.8
Midwest Region,Indiana,1960,4662498,1469.1,84.6
Midwest Region,Illinois,1960,10081158,1976.8,365.1
West Region,Wyoming,1961,338000,1881.1,85.2
West Region,Washington,1961,2902000,2173.2,58.1
West Region,Utah,1961,916000,2047.9,49.2
West Region,Oregon,1961,1799000,1932.1,69
West Region,New Mexico,1961,983000,2062.4,130
West Region,Nevada,1961,299000,3436.8,183.6
West Region,Montana,1961,682000,1954.1,67
West Region,Idaho,1961,684000,1829.8,32.5
West Region,Hawaii,1961,657000,2497.7,24.5
West Region,Colorado,1961,1781000,2254.7,149.3
West Region,California,1961,16397000,3177.5,232.7
West Region,Arizona,1961,1391000,2969.4,164.5
West Region,Alaska,1961,234000,1540.6,88.9
South Region,West Virginia,1961,1850000,599.2,63.1
South Region,Virginia,1961,4059000,1584,186.1
South Region,Texas,1961,9788000,1970.5,157.8
South Region,Tennessee,1961,3615000,1160.9,108.2
South Region,South Carolina,1961,2407000,1448.2,137.8
South Region,Oklahoma,1961,2360000,1847.1,103.3
South Region,North Carolina,1961,4614000,989.5,201
South Region,Mississippi,1961,2215000,629.4,102.7
South Region,Maryland,1961,3188000,1634.4,155.6
South Region,Louisiana,1961,3321000,1120.7,135.7
South Region,Kentucky,1961,3076000,1105.4,94.5
South Region,Georgia,1961,3987000,1340.5,157.2
South Region,Florida,1961,5222000,2243.3,217.8
South Region,Delaware,1961,458000,2040,69.4
South Region,Arkansas,1961,1797000,936.9,100.7
South Region,Alabama,1961,3302000,985.5,168.5
Northeast Region,Vermont,1961,395000,796.7,20
Northeast Region,Rhode Island,1961,867000,1833.3,42.9
Northeast Region,Pennsylvania,1961,11468000,949.6,97.9
Northeast Region,New Jersey,1961,6244000,1431.4,107
Northeast Region,New Hampshire,1961,621000,791,14.3
Northeast Region,Massachusetts,1961,5234000,1409.7,53.1
Northeast Region,Maine,1961,992000,1081.1,33.7
Northeast Region,Connecticut,1961,2614000,1211.1,33.6
Midwest Region,Wisconsin,1961,4022000,1160.3,31.5
Midwest Region,South Dakota,1961,690000,1103.2,35.5
Midwest Region,Ohio,1961,9876000,1502.7,80.9
Midwest Region,North Dakota,1961,640000,868.3,25
Midwest Region,Nebraska,1961,1431000,1240.8,41
Midwest Region,Missouri,1961,4378000,1885.9,166
Midwest Region,Minnesota,1961,3470000,1408.2,43.4
Midwest Region,Michigan,1961,7954000,2484.7,207.4
Midwest Region,Kansas,1961,2194000,1363.6,58.4
Midwest Region,Iowa,1961,2779000,1057.6,23.1
Midwest Region,Indiana,1961,4711000,1546.8,85.8
Midwest Region,Illinois,1961,10258000,2082.3,362.2
West Region,Wyoming,1962,365000,1564.7,42.7
West Region,Washington,1962,3006000,2270.1,63.6
West Region,Utah,1962,967000,2275.6,57.3
West Region,Oregon,1962,1864000,1979.8,78.4
West Region,New Mexico,1962,1020000,2122.9,131.2
West Region,Nevada,1962,335000,3496.1,212.2
West Region,Montana,1962,709000,1928.8,55
West Region,Idaho,1962,698000,1895,33.5
West Region,Hawaii,1962,693000,2509.5,36.9
West Region,Colorado,1962,1907000,2510.3,156.8
West Region,California,1962,16970000,3326.2,234.8
West Region,Arizona,1962,1509000,3028.1,173
West Region,Alaska,1962,246000,1564.6,91.5
South Region,West Virginia,1962,1773000,682.3,64.6
South Region,Virginia,1962,4177000,1578.9,184.8
South Region,Texas,1962,10116000,1994.4,153.4
South Region,Tennessee,1962,3634000,1281.4,103.7
